Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-KORNHER-STACE, NICOLE",56985120,Archivist wasp /,14,5/7/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-KOTTARAS, E. KATHERINE",57718942,How to be brave /,23,11/18/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-KOTTARAS, E. KATHERINE",57932071,The best possible answer /,8,11/17/2016,,,,,x,x,,,,,,,,,,,,,,,,
"YA-KRAUS, DANIEL",71709307,Bent heavens /,3,2/25/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-KRISCHER, HAYLEY",70475439,Something Happened to Ali Greenleaf,2,10/12/2020,,,,,x,,,,,,,,,,,x,x,,,,,
"YA-KRISTOFF, JAY",70220058,Life l1k3 /,13,5/29/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-KRITZER, NAOMI",70449392,Catfishing on CatNet /,4,1/15/2020,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-KRONZER, NICOLE",71718639,Unscripted /,0,4/18/2020,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-KUEHN, STEPHANIE",54823802,Complicit /,11,6/25/2014,,,,,x,,,,,,x,,,,,x,x,,,,,
"YA-KUEHN, STEPHANIE",56974306,Delicate monsters /,6,6/24/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-KUEHN, STEPHANIE",57900623,The smaller evil /,12,8/2/2016,x,,,,x,,,,,,,,,,,x,,,,,,
"YA-KUEHN, STEPHANIE",65017774,When I am through with you /,10,8/9/2017,,,x,,x,,,,,,,,,,,,,,,,,
"YA-KUHN, SARAH",70267778,I love you so mochi /,9,5/24/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-KUN, MICHAEL",57931768,We are still tornadoes /,9,11/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-KURTAGICH, DAWN",57926818,And the trees crept in /,20,9/8/2016,,,,,x,,,,,,,,,x,,,,,,,,
"YA-KWAYMULLINA, AMBELIN",60615085,The things she's seen /,6,10/4/2019,,,,x,x,,,,,,,,,,,,,,,,,x
"YA-KWITNEY, ALISA",70004833,Cadaver & queen /,6,2/27/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-L'ENGLE, MADELEINE",50846211,Camilla /,35,1/3/2011,,,,,x,,,,,x,,,,,,,,,,,,
"YA-L'ENGLE, MADELEINE",52429537,The arm of the starfish.,44,10/13/2011,,,,,x,,,,,,,,,,,,,,,,,
"YA-LA SALA, RYAN",70456413,Reverie /,0,12/12/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LACOUR, NINA",52359619,The disenchantments /,27,2/10/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-LACOUR, NINA",57998502,We are okay /,26,2/27/2017,,,x,,x,,,,x,,,,,,,,,,,,,
"YA-LACOUR, NINA",70481544,Watch Over Me,1,9/23/2020,x,,,,x,,,,,,x,,,,,,,,,,,
"YA-LAFEVERS, ROBIN",60648094,Courting darkness /,10,1/31/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LAI, THANHHA",70255765,Butterfly yellow /,5,8/30/2019,,x,,,x,,x,,,,,,,,,,,,,,,x
"YA-LAKE, NICK",53174330,In darkness /,26,1/7/2013,,,x,,,,,,,,,x,,,,,,,,,,
"YA-LAKE, NICK",57622557,Whisper to me /,22,5/3/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LAKE, NICK",70141841,Satellite /,11,11/17/2017,x,,,,,,,,,,,,,,,,,,,,,
"YA-LAKE, NICK",71715007,Nowhere on Earth /,3,5/18/2020,,,x,,x,,,,,,,,,,,,,,,,,
"YA-LAMARCHE, UNA",57732257,Don't fail me now /,4,10/30/2015,x,,,,x,,,,,x,,,,,,,x,,,,,
"YA-LAMARCHE, UNA",57932055,You in five acts /,30,11/17/2016,x,,x,,x,,,,,,,,,,,,,,,,,
"YA-LANDERS, MELISSA #1",54963178,Alienated /,14,1/22/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LANDERS, MELISSA #2",55948970,Invaded /,17,1/29/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LARBALESTIER, JUSTINE",55910095,Razorhurst /,11,3/5/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LARBALESTIER, JUSTINE",57642399,How to ditch your fairy /,15,3/23/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LARBALESTIER, JUSTINE",65936601,My sister Rosa /,3,12/27/2018,x,x,,,x,,,,x,x,,,,,,x,,,,,,
"YA-LARSON, KIRBY",57648487,Hattie Big Sky /,5,3/14/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LARSON, SARA B.",54856398,Defy /,38,5/7/2014,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LARSON, SARA B.",55917306,Ignite /,20,12/29/2014,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LARSON, SARA B.",57979072,Dark breaks the dawn /,17,5/30/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-LARSON, SARA B. #3",57684680,Endure /,24,2/6/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LASKIN, PAMELA L.",58982471,Ronit & Jamil /,8,2/25/2017,,x,,,,,,,,,,,,,,,,x,x,x,,x
"YA-LATHAM, JENNIFER",56982010,Scarlett undercover /,11,5/14/2015,,x,,,,,,,,,,,,,,,,,,x,,
"YA-LATIMER, E.",70481668,Witches of ash & ruin /,0,9/23/2020,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LAURE, ESTELLE",57703316,This raging light /,20,12/18/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LAURE, ESTELLE",58890583,But then I came back /,4,5/24/2017,x,,,,x,,,,,x,x,,,,,,x,,,,,
"YA-LAUREN, CHRISTINA",57732091,The house /,26,10/30/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LAURENS, SASHA",70432802,A wicked magic /,1,8/5/2020,,,x,,x,,,,,,,,,,,x,,,,,,
"YA-LAURIN, KATHERINE",70482237,These Vengeful Hearts,3,9/17/2020,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-LAWSON, LIZ",71719942,The lucky ones /,0,4/18/2020,,,x,,x,,,,,,,,,,,x,,,,,,
"YA-LAYBOURNE, EMMY",56977572,Sweet /,21,6/8/2015,x,,,,x,,,,,,,,,,,,,,,,,
"YA-LEAVITT, LINDSEY",57626459,Going vintage /,21,4/21/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEAVITT, MARTINE",56900566,Calvin /,11,12/7/2015,,,,,x,,,,,,,,,,,x,,,,,,
"YA-LEDER, MEG",70159512,Letting go of gravity /,5,7/17/2018,x,,,,x,,,,x,,,,,,,,x,,,,,
"YA-LEE, C. B. #1",60584166,Not your sidekick /,9,1/10/2019,,x,,,,,,,x,,,,,,,,,,,,,x
"YA-LEE, C. B. #2",60584224,Not your villain /,11,1/10/2019,,x,,,,,,,x,,,,,,,,,,,,,x
"YA-LEE, FONDA",57003451,Zeroboxer /,6,4/10/2015,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LEE, FONDA",58001702,Exo /,14,2/9/2017,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LEE, HARPER",49061724,To kill a mockingbird /,141,7/8/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEE, HARPER",49061880,To kill a mockingbird /,154,7/8/2009,,,,,,,,,,,,,,,,,,,,,,
"YA-LEE, MACKENZI",65013179,The gentleman's guide to vice and virtue /,32,6/29/2017,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-LEE, MACKENZI",70466925,Loki : where mischief lies /,8,11/4/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LEE, MACKENZI",70458567,The gentleman's guide to getting lucky /,4,12/5/2019,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-LEE, MACKENZI #2",70201819,The lady's guide to petticoats and piracy /,19,10/10/2018,,,,,x,,,x,,,,,,,,,,,,,,
"YA-LEE, STACEY",57666018,Outrun the moon /,23,6/2/2016,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LEE, STACEY",57967192,The secret of a heart note /,16,12/27/2016,,x,x,,x,x,,,x,,,,,,,,,,,,,x
"YA-LEE, STACEY",70260401,The downstairs girl /,8,8/13/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LEE, VICTORIA #1",70271606,The fever king /,8,5/23/2019,x,,x,,x,,x,,x,,,,,,,,,,,,,
"YA-LEGRAND, CLAIRE",70201793,Sawkill Girls /,7,10/10/2018,x,,,,x,,,x,x,,,,,,,,,,,,,
"YA-LEGRAND, CLAIRE #1",65994907,Furyborn /,8,6/21/2019,x,x,,,x,,,,x,,,,,,,,,,,,,
"YA-LEHRER, RUTH",70136080,Being Fishkill /,1,1/2/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LEHRMAN, MAGGIE",56981665,The cost of all things /,21,5/14/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LENO, KATRINA",70216429,Summer of salt /,9,6/15/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-LENO, KATRINA",70236567,You must not miss /,4,4/19/2019,,,,,x,,,,x,,,,,,,x,,,,,,
"YA-LENO, KATRINA",70477575,Horrid,0,10/12/2020,x,,,,x,,,,,,,,,,,,,,,,,
"YA-LEONARD, CONNIE KING",60642931,Sleeping in my jeans /,5,2/27/2019,x,,,,x,,,,,x,,x,,,,,,,,,,
YA-LET,70466867,Let it snow : three holiday romances /,9,11/8/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEVEEN, TOM",55988182,Random /,23,8/27/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEVEEN, TOM",56900301,Shackled /,23,9/22/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEVENSELLER, TRICIA",70247978,Warrior of the wild /,7,3/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEVITHAN, DAVID",44500486,Are we there yet? /,93,8/17/2005,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEVITHAN, DAVID",45694528,Wide awake /,58,10/3/2006,x,,,,x,,,,x,,,,,,,,,,x,,,x
"YA-LEVITHAN, DAVID",53085866,Every day /,86,9/19/2012,x,x,x,,x,,,x,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",53971172,Two boys kissing /,34,9/30/2013,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",57010456,"Hold me closer : the Tiny Cooper story : a musical in novel form (or, a novel in musical form) /",14,3/11/2015,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",56916992,Another day /,36,8/27/2015,x,x,x,,x,,,x,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",57648057,"How they met, and other stories /",12,3/11/2016,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",65065351,Boy meets boy /,6,12/7/2017,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",70012414,Someday /,13,10/1/2018,x,x,x,,x,,,x,x,,,,,,,,,,,,,x
"YA-LEVITHAN, DAVID",71704712,19 love songs /,4,8/14/2020,,,,,x,,,,x,,,,,,,,,,,,,x
"YA-LEVITIN, SONIA",46384244,Strange relations /,41,5/25/2007,,,,,,,,,,,,,,,,,,,,,,
"YA-LEVY, MICHELLE",56931801,Not after everything /,11,8/10/2015,,,,,x,,,,,x,,,,,,x,,,,,,
"YA-LEWIS, R. C.",57726796,Spinning starlight /,27,11/4/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LEWIS, R. C.",57648495,Stitching Snow /,12,3/11/2016,,,,,x,,,x,,,,,,,,,,,,,,
"YA-LIGGETT, KIM",56903156,Blood and salt /,19,9/22/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LIGGETT, KIM",70466909,The grace year /,12,11/4/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LIM, ELIZABETH",70288857,Spin the dawn /,4,7/10/2019,,x,,,,,,x,,,,,,,,,,,,,,
"YA-LINDSTROM, ERIC",57714040,Not if I see you first /,18,12/7/2015,,,,,x,,,,,,,,,x,,,,,,,,
"YA-LINKA, CATHERINE",70442173,What I want you to see /,6,2/12/2020,,,,,x,,,,,,,x,,,,,,,,,,
"YA-LIPPINCOTT, RACHAEL",70247895,Five feet apart /,12,3/13/2019,,,x,,x,,,,x,,,,,,,,x,,,,,
"YA-LITTLE BADGER, DARCIE",70483987,Elatsoe /,2,8/31/2020,,,x,x,x,,,,,,,,,,,,,,,,,x
"YA-LLOYD-JONES, EMILY",56014640,Illusive /,24,7/14/2014,,,x,,x,,,,x,,,,,,,,,,,,,
"YA-LLOYD-JONES, EMILY",65017766,The hearts we sold /,8,8/9/2017,,,x,,x,,,,,,,,,,,,,,,,,
"YA-LLOYD-JONES, EMILY",70279773,The bone houses /,12,9/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LO, CATHERINE",70200878,Easy prey /,3,10/10/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-LO, MALINDA",57648149,Ash /,13,3/11/2016,,,,,x,,,x,x,,,,,,,,,,,,,
"YA-LO, MALINDA",65034142,A line in the dark /,9,10/26/2017,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-LOCHNER, CAITLIN",70238225,A soldier and a liar /,6,4/19/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LOCKE, KATHERINE",70276480,"It's a whole spiel : love, latkes, and other Jewish stories /",1,10/4/2019,,,x,,x,,,,x,,,,,,,,,,x,,,
"YA-LOCKHART, E.",54824982,We were liars /,65,6/9/2014,,,,,,,,,,,,,,,,,,,,,,
"YA-LOCKHART, E.",54822895,We were liars /,78,6/18/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LOCKHART, E.",65022691,Genuine fraud /,22,9/5/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-LOGAN, KENNETH",57600645,True letters from a fictional life /,13,7/1/2016,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-LONDON, ALEX #1",60920907,Black wings beating /,9,11/13/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LONDON, JACK",57706509,To build a fire and other favorite stories /,18,12/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LONDON, JACK",57937765,The call of the wild /,26,9/28/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LONGO, JENNIFER",55989743,Six feet over it /,21,8/27/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LONGO, JENNIFER",57687485,Up to this pointe /,27,1/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORD, EMERY",57648537,The start of me and you /,9,3/11/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORD, EMERY",57668741,When we collided /,17,4/8/2016,,,,,x,,,,,,,,,,,x,,,,,,
"YA-LORD, EMERY",65005571,The names they gave us /,6,6/15/2017,x,x,x,,x,,,,x,,,,,,,,x,,,,,
"YA-LORD, EMERY",71704720,The map from here to there /,1,3/31/2020,x,,,,x,,,,x,x,,,,,,,,,,,,
"YA-LORD, EMMA",70448121,Tweet cute /,5,1/28/2020,,,,,x,,,,x,,,,,,,,,,,,,
"YA-LORE, PITTACUS",51920080,The power of Six /,101,8/24/2011,,,,,,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS",57614190,I am number four : the lost files : the legacies /,22,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS",70191457,Fugitive six /,13,6/29/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #1",65013039,Generation one /,27,6/29/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #1",65094492,I am number four /,25,2/24/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #1",70213269,I am number four /,17,8/8/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #3",70288873,Return to zero /,7,7/5/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #5",55990162,The revenge of seven /,54,8/21/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LORE, PITTACUS #7",57954638,United as one /,29,11/2/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LOUTZENHISER, KATY",70242219,If you're out there /,7,4/4/2019,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-LOVE, JESSICA",57678161,In real life /,17,3/11/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-LU, MARIE",54096789,Prodigy /,97,1/31/2013,,x,,,x,,,,x,,,,,,,,,,,,,x
"YA-LU, MARIE",55977862,The young elites /,79,10/2/2014,x,x,,,x,,,,x,,,,,,,,,,,,,x
"YA-LU, MARIE",70003157,Batman.,18,3/16/2018,,,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE",71708036,The Kingdom of Back /,6,3/3/2020,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #1",51918035,Legend /,129,11/29/2011,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #1",65045239,Warcross /,34,9/21/2017,,x,,,,,,,,,,,,,,,,,,,,
"YA-LU, MARIE #1",65061723,Warcross /,36,11/20/2017,,,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #1",70472303,Skyhunter /,1,10/26/2020,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #2",70014717,Wildcard /,21,9/21/2018,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #2",71720312,The Rose Society /,3,4/18/2020,x,x,,,x,,,,x,,,,,,,,,,,,,x
"YA-LU, MARIE #3",57615957,Champion : a Legend novel /,47,5/17/2016,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LU, MARIE #3",57944126,The midnight star /,29,10/11/2016,x,x,,,x,,,,x,,,,,,,,,,,,,x
"YA-LU, MARIE #4",60613874,Rebel /,10,11/4/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-LUBAR, DAVID",57663387,"Character, driven /",7,3/11/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUBAR, DAVID #1",57648065,Sleeping freshmen never lie /,13,3/11/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUBAR, DAVID #2",57732273,Sophomores and other oxymorons : another novel /,17,10/30/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUCIER, MAKIIA",54855762,A death-struck year /,23,5/6/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUCIER, MAKIIA",70142021,Isle of blood and stone /,15,4/10/2018,,x,,,x,,,,,,,,,,,,,,,,,x
"YA-LUCIER, MAKIIA #2",70255054,Song of the abyss /,5,8/30/2019,,x,,,x,,,,,,,,,,,,,,,,,x
"YA-LUKAVICS, AMY",57739484,Daughters unto devils /,14,10/15/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUKAVICS, AMY",57931891,The women in the walls /,19,11/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUND, NATALIE",70253729,We speak in storms /,4,8/30/2019,,,x,,x,,,,,,,,,,,x,x,,,,,
"YA-LUNDIN, BRITTA",65870131,Ship it /,14,7/13/2018,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-LUNETTA, DEMITRIA",54037049,In the After /,53,9/6/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUNETTA, DEMITRIA",55987853,In the end /,33,8/27/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-LUURTSEMA, NAT",57600652,Goldfish /,18,7/1/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-LYGA, BARRY",56934391,After the red rain /,9,8/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LYGA, BARRY",57938268,The secret sea /,14,9/27/2016,,,,,x,,,,,,,,,,,x,,,,,,
"YA-LYGA, BARRY",57983363,Bang /,10,5/2/2017,,x,,,x,,,,,x,,,,,,x,,,,x,,
"YA-LYGA, BARRY",70466891,The hive /,7,11/4/2019,x,,,,x,,,,,,,,,,,,,,,,,
"YA-LYNCH, CHRIS",56981707,Hit count /,21,5/14/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-LYONS, C. J.",70210273,The color of lies /,12,11/16/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH #4",57741415,Queen of shadows /,61,10/7/2015,,,,,,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH #4",65939092,Queen of shadows /,11,1/25/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J.",53089108,Throne of glass /,112,9/11/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J.",54947320,Crown of midnight /,98,9/18/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J.",55986715,Heir of fire : a Throne of glass novel /,70,9/4/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J.",57978918,A court of wings and ruin /,35,5/30/2017,x,x,,,x,,,,x,,,,,,,,,,,,,
"YA-MAAS, SARAH J.",70154240,Catwoman : Soulstealer /,12,8/3/2018,x,,,,x,,,,x,,,,,,,x,,,,,,
"YA-MAAS, SARAH J. #1",57896631,A court of thorns and roses /,26,9/24/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J. #2",57617961,A court of mist and fury /,52,5/11/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J. #5",57938771,Empire of storms /,53,9/26/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAAS, SARAH J. #7",70197678,Kingdom of ash /,22,10/19/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-MABRY, SAMANTHA",60639523,All the wind in the world /,6,11/3/2017,,,x,,x,,,,,,,,,,,,,,,,,x
"YA-MABRY, SAMANTHA",71702989,"Tigers, not daughters /",0,3/31/2020,,,x,,,,,,,,,,,,,,,,,,,x
"YA-MAC, CARRIE",70446760,Wildfire /,4,1/31/2020,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MACKLER, CAROLYN",56897127,Infinite in between /,18,9/25/2015,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-MACMILLAN, KATHY",57665473,Sword and verse /,29,3/1/2016,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MAE, NATALIE",71700520,The Kinder Poison,1,8/14/2020,x,x,,,x,,,,x,,,,,,,,,,,,,
"YA-MAFI, TAHEREH",70197595,A very large expanse of sea /,13,10/26/2018,,x,,,x,,,,,,,,,,,,,,,x,,
"YA-MAGOON, KEKLA",48825640,The rock and the river /,35,2/23/2009,x,,,,,,,,,,,,,,,,,,,,,x
"YA-MAGOON, KEKLA",55972988,How it went down /,27,10/16/2014,x,,,,,,,,,,,,,,,,,,,,,x
"YA-MAGOON, KEKLA",70469135,Light it up /,7,10/31/2019,x,,,,,,,,,,,,,,,,,,,,,x
"YA-MAGUIRE, GREGORY",55956866,Egg & spoon /,47,9/9/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAHURIN, SHELBY",67130526,Serpent & dove /,7,11/13/2019,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MAIZEL, REBECCA",56947476,Between us and the moon /,23,7/6/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-MAIZEL, REBECCA",57600389,A season for fireflies /,9,7/1/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-MANISCALCO, KERRI #1",71738595,Kingdom of the Wicked /,1,11/14/2020,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MANN, J. ALBERT",70247994,What every girl should know : Margaret Sanger's journey : a novel /,9,3/13/2019,,,,,x,,,x,,,,,,,,,,,,,,
"YA-MARCHETTA, MELINA",48157408,Jellicoe Road /,85,7/24/2008,,,,,x,,,,,,,,,,,,,,,,,
"YA-MARCHETTA, MELINA",49580574,Finnikin of the rock /,69,3/24/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-MARQUARDT, MARIE F.",58001595,The radius of us /,16,2/9/2017,,,x,,x,,,,x,,,,,,,x,,,,,,
"YA-MARSH, KATHERINE",53173290,"Jepp, who defied the stars /",18,1/9/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-MARSH, SARAH GLENN",70010749,Reign of the fallen /,5,1/30/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-MARSHALL, KATE ALICE",70157219,I am still alive /,9,7/20/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-MARTIN, JENNY",65985707,Tracked /,3,6/5/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-MARTIN, MAGGIE ANN",70017421,To be honest /,14,9/7/2018,,,,,x,,,,x,,,,,,,x,,,,,,
"YA-MASON, LIZZY",60642998,The art of losing /,11,2/21/2019,,,x,,x,,,,,,,,,,,x,,,,,,
"YA-MASON, SIMON",57938292,Running girl /,8,9/27/2016,x,x,,,x,,,,,,,,,,,,,,,,,
"YA-MATHER, ADRIANA",57611972,How to hang a witch /,23,7/30/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-MATHER, ADRIANA",70242185,Killing November /,10,4/2/2019,x,,,,x,,,,,,,,,,,,,,,,,
"YA-MATHER, JANICE LYNN",70213343,Learning to breathe /,4,6/27/2018,x,,,,,,,,,,,,,,,,,,,,,x
"YA-MATHER, JANICE LYNN",70486220,Facing the Sun,0,8/31/2020,x,,,,,,,,,,,,,,,,,,,,,x
"YA-MATHIEU, JENNIFER",55988034,The truth about Alice /,17,8/27/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-MATHIEU, JENNIFER",57938300,Afterward /,14,9/27/2016,,,,,x,,,,,,,,x,x,,,,,,,,
"YA-MATHIEU, JENNIFER",65048753,Moxie : a novel /,28,9/28/2017,x,,,,x,,,,x,,,,,,,,,,,,,
"YA-MATHIEU, JENNIFER",70279757,The liars of Mariposa Island /,3,9/13/2019,,,x,,,,,,,,,,,,,,,,,,,
"YA-MATSON, MORGAN",50898923,Amy & Roger's epic detour /,55,10/14/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-MATSON, MORGAN",53118535,Second chance summer /,44,8/15/2012,,,,,x,,,,,,,,,,,,x,,,,,
"YA-MATSON, MORGAN",57622706,The unexpected everything /,25,5/3/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-MATSON, MORGAN",65134801,Save the date /,10,7/13/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-MAXWELL, LISA",65020695,The last magician /,21,7/24/2017,x,x,,,x,,,,,,,,,,,,,,,,,
"YA-MAYHEW, JULIE",70141510,The big lie /,6,11/17/2017,,,,,x,,,,x,,,,,,,,,,,,,
"YA-MCCAFFREY, LAURA WILLIAMS",57674343,Marked /,9,2/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-MCCAHAN, ERIN",65020661,The lake effect /,13,7/24/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-MCCARTHY, ANDREW",58987124,Just fly away /,16,4/10/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-MCCARTHY, CORI",55906432,Breaking sky /,16,3/5/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-MCCARTHY, CORI",70244504,Once & future /,8,3/26/2019,x,x,x,,x,,,x,x,,,,,,,,,,,,,
"YA-MCCAUGHREAN, GERALDINE",70442231,Where the world ends /,4,2/14/2020,,,,,x,,,,,,,,,,,,,,,,,
